0,4021043,MBUMBAZI SENIOR SECONDARY SCHOOL,0,0,0,0,38,11,0,0,0,0,28.94736842,71.05263158
700888031,8888031,VINE CHRISTIAN COLLEGE,0,0,0,0,3,0,0,0,0,0,0,100
0,5512000,UGU CENTRE 1,0,0,0,0,32,29,0,0,0,0,90.625,9.375
600105347,9158037,NEW COVENANT ACADEMY,0,0,20,5,13,3,0,0,25,75,23.07692308,76.92307692
200300003,4161001,AMABELE SENIOR SECONDARY SCHOOL,37,14,38,29,51,36,37.83783784,62.16216216,76.31578947,23.68421053,70.58823529,29.41176471
200300869,4161002,BETHEL COLLEGE HIGH SCHOOL,59,42,46,31,34,24,71.18644068,28.81355932,67.39130435,32.60869565,70.58823529,29.41176471
200300024,4161003,BLYTHSWOOD INSTITUTION,80,50,81,34,101,59,62.5,37.5,41.97530864,58.02469136,58.41584158,41.58415842
200300033,4161048,BONGOLETHU SENIOR SECONDARY SCHOOL,26,13,35,11,24,9,50,50,31.42857143,68.57142857,37.5,62.5
200300741,4161037,BUTTERWORTH HIGH SCHOOL,81,61,85,78,84,77,75.30864198,24.69135802,91.76470588,8.235294118,91.66666667,8.333333333
200300879,4162019,BUTTERWORTH REVIVAL CHRISTIAN SCHOOL,0,0,0,0,23,19,0,0,0,0,82.60869565,17.39130435
200300053,4161004,CUNNINGHAM SENIOR SECONSARY SCHOOL,61,22,51,27,64,35,36.06557377,63.93442623,52.94117647,47.05882353,54.6875,45.3125
200300057,4161005,DALUHLANGA SENIOR SECONDARY SCHOOL,83,47,69,33,89,40,56.62650602,43.37349398,47.82608696,52.17391304,44.94382022,55.05617978
200300071,4161042,DONDASHE SENIOR SECONDARY SCHOOL,87,60,87,42,58,38,68.96551724,31.03448276,48.27586207,51.72413793,65.51724138,34.48275862
200500039,4051033,A D TSHAYINGCA SECONDARY SCHOOL,0,0,0,0,209,126,0,0,0,0,60.28708134,39.71291866
700888030,8888030,TAAL-NET INSTITUTE,0,0,0,0,5,2,0,0,0,0,40,60
700400258,8400258,RASLOUW ACADEMY,0,0,0,0,3,3,0,0,0,0,100,0
500493654,5313331,AMAKHUZE HIGH SCHOOL,0,0,0,0,43,33,0,0,0,0,76.74418605,23.25581395
500143782,5311105,EZULWINI COMBINED,0,0,30,16,20,12,0,0,53.33333333,46.66666667,60,40
0,4131028,SITOZA SENIOR SECONDARY SCHOOL,0,0,0,0,102,30,0,0,0,0,29.41176471,70.58823529
600100045,9121008,BADUMEDI SECONDARY SCHOOL,0,0,0,0,61,56,0,0,0,0,91.80327869,8.196721311
600102068,9424221,TETLANO SECONDARY SCHOOL,0,0,0,0,43,26,0,0,0,0,60.46511628,39.53488372
200300870,4161007,ELUKHANYISWENI COLLEGE,39,14,25,10,11,8,35.8974359,64.1025641,40,60,72.72727273,27.27272727
200300873,4162021,EMMANUEL JUNIOR SCHOOL,12,9,29,18,41,31,75,25,62.06896552,37.93103448,75.6097561,24.3902439
200300788,4161009,EZINGCUKA SENIOR SECONDARY SCHOOL,157,105,171,31,143,50,66.87898089,33.12101911,18.12865497,81.87134503,34.96503497,65.03496503
200300744,4161008,EZINGQAYI SENIOR SECONDARY SCHOOL,64,39,109,66,125,65,60.9375,39.0625,60.55045872,39.44954128,52,48
200300093,4161010,EZIZWENI SENIOR SECONDARY SCHOOL,81,43,84,38,108,51,53.08641975,46.91358025,45.23809524,54.76190476,47.22222222,52.77777778
200300787,4161011,GOBE COMMERCIAL SCHOOL,66,55,114,100,81,70,83.33333333,16.66666667,87.71929825,12.28070175,86.41975309,13.58024691
200300123,4161012,GWADANA SENIOR SECONDARY SCHOOL,24,13,50,13,43,17,54.16666667,45.83333333,26,74,39.53488372,60.46511628
200300124,4161013,GWELANE SENIOR SECONDARY SCHOOL,76,39,60,34,57,23,51.31578947,48.68421053,56.66666667,43.33333333,40.35087719,59.64912281
200300149,4161014,ISOLOMZI SENIOR SECONDARY SCHOOL,44,39,55,46,64,62,88.63636364,11.36363636,83.63636364,16.36363636,96.875,3.125
200300723,4161038,JJ NJEZA SENIOR SECONDARY SCHOOL,101,52,102,66,91,54,51.48514851,48.51485149,64.70588235,35.29411765,59.34065934,40.65934066
200300165,4161043,JONGABANTU SENIOR SECONDARY SCHOOL,93,23,49,28,41,23,24.7311828,75.2688172,57.14285714,42.85714286,56.09756098,43.90243902
200300169,4161044,JONGILIZWE SENIOR SECONDARY SCHOOL,51,38,43,25,47,28,74.50980392,25.49019608,58.13953488,41.86046512,59.57446809,40.42553191
200300189,4161015,KRAZUKILE SENIOR SECONDARY SCHOOL,55,29,74,29,44,24,52.72727273,47.27272727,39.18918919,60.81081081,54.54545455,45.45454545
200300198,4161016,KWANTOZONKE SENIOR SECONDARY SCHOOL,49,12,53,26,43,17,24.48979592,75.51020408,49.05660377,50.94339623,39.53488372,60.46511628
200300782,4161017,LAMPLOUGH SENIOR SECONDARY SCHOOL,101,88,114,96,121,104,87.12871287,12.87128713,84.21052632,15.78947368,85.95041322,14.04958678
200300256,4161018,MABOBOTI S.S.S.,22,11,24,13,39,16,50,50,54.16666667,45.83333333,41.02564103,58.97435897
200300258,4161019,MACIBE SENIOR SECONDARY SCHOOL,53,39,86,56,106,49,73.58490566,26.41509434,65.11627907,34.88372093,46.22641509,53.77358491
200300846,4161039,MENTE SENIOR SECONDARY SCHOOL,62,56,118,98,173,73,90.32258065,9.677419355,83.05084746,16.94915254,42.19653179,57.80346821
200300329,4161045,MGOMANZI SENIOR SECONDARY SCHOOL,58,19,69,27,43,10,32.75862069,67.24137931,39.13043478,60.86956522,23.25581395,76.74418605
441811229,3202034,PHIRITONA SS,138,116,142,121,190,162,84.05797101,15.94202899,85.21126761,14.78873239,85.26315789,14.73684211
200300381,4161020,MSOBOMVU SENIOR SECONDARY SCHOOL,358,170,273,216,207,136,47.48603352,52.51396648,79.12087912,20.87912088,65.70048309,34.29951691
200300383,4161021,MTAWELANGA SENIOR SECONDARY SCHOOL,63,20,108,32,77,21,31.74603175,68.25396825,29.62962963,70.37037037,27.27272727,72.72727273
200300382,4161022,MTEBELE SENIOR SECONDARY SCHOOL,104,34,183,57,110,46,32.69230769,67.30769231,31.14754098,68.85245902,41.81818182,58.18181818
200300778,4161023,NCEDISIZWE SENIOR SECODARY SCHOOL,66,39,112,54,99,37,59.09090909,40.90909091,48.21428571,51.78571429,37.37373737,62.62626263
200300420,4161024,NDABANKULU SENIOR SECONDARY SCHOOL,164,126,190,123,184,129,76.82926829,23.17073171,64.73684211,35.26315789,70.10869565,29.89130435
200300443,4161051,NGUBESIZWE SENIOR SECONDARY SCHOOL,0,0,19,11,29,13,0,0,57.89473684,42.10526316,44.82758621,55.17241379
